surface,condition,seed,recon_per_dim,E_mu,E_Sigma,sigma_min_p5,gt_mfpt,lr_mfpt,mfpt_err,gt_rate,lr_rate,rate_err,transition_frac,gt_transition_frac,gt_transitions,lr_transitions,W2@1.0
quartic_dome,T,8042,0.0006549897330317331,0.014223326928913593,0.004577812273055315,0.9586856961250305,7.073335647583008,7.550222396850586,0.06742034777192181,0.40524,0.30735,0.24156055670713647,0.8204,0.8522,40524,30735,0.3472219671176396
quartic_dome,T+F,8042,7.748900824666616e-05,0.011087631806731224,0.0032272133976221085,1.136441946029663,7.073335647583008,6.779917240142822,0.04148232489722837,0.40524,0.4631,0.14277958740499463,0.892,0.8522,40524,46310,0.15572164625383134
quartic_dome,baseline,9042,1.6655724273243948e-05,0.05071979761123657,0.027305206283926964,1.2287572622299194,6.988278388977051,7.71211576461792,0.1035787836933647,0.40534,0.32418,0.20022696995115202,0.793,0.8586,40534,32418,0.10634841355403588
quartic_dome,T,9042,0.0004116611101141023,0.0076512848027050495,0.0015924954786896706,0.9231651425361633,6.988278388977051,7.205846309661865,0.031133264671881825,0.40534,0.29871,0.26306310751467904,0.753,0.8586,40534,29871,0.32634834681700453
quartic_dome,T+F,9042,0.0002285339939060496,0.024501735344529152,0.006146845407783985,1.141528844833374,6.988278388977051,6.127494812011719,0.1231753414865509,0.40534,0.48387,0.19373858982582534,0.9238,0.8586,40534,48387,0.2256210586224732
sinusoidal,baseline,42,1.2193363975381376e-05,0.02671654336154461,0.01559104397892952,1.2233562469482422,5.531641006469727,5.829653263092041,0.053874113716664486,0.5284,0.47267,0.10546934140802423,0.9524,0.9666,52840,47267,0.08106779340932962
sinusoidal,T,42,8.40897697362289e-06,0.0013259612023830414,0.0003522670012898743,1.0461170673370361,5.531641006469727,5.264066219329834,0.04837168334440738,0.5284,0.53365,0.009935654806964378,0.9718,0.9666,52840,53365,0.07438444253942242
sinusoidal,T+F,42,6.380294500595302e-05,0.004974100273102522,0.001370662939734757,1.3977595567703247,5.531641006469727,5.695991039276123,0.029710900004930742,0.5284,0.52914,0.001400454201362744,0.9548,0.9666,52840,52914,0.12789884798322979
sinusoidal,baseline,1042,2.5670178494050134e-05,0.05824265256524086,0.033306293189525604,1.251220464706421,5.562067031860352,5.664862632751465,0.018481546572934975,0.52167,0.44458,0.1477754135756321,0.9028,0.9668,52167,44458,0.11040535441817374
sinusoidal,T,1042,9.094760637378218e-05,0.0023529725149273872,0.0009329940658062696,1.0106843709945679,5.562067031860352,5.356879711151123,0.03689047966050838,0.52167,0.49674,0.047788832020242596,0.9684,0.9668,52167,49674,0.15195448228087677
sinusoidal,T+F,1042,0.00010102089327662738,0.008203046396374702,0.00365847023203969,1.3562872409820557,5.562067031860352,5.188697814941406,0.06712778087359081,0.52167,0.53291,0.02154618820327032,0.963,0.9668,52167,53291,0.15713159966397863
sinusoidal,baseline,2042,1.8697753270615392e-05,0.043175481259822845,0.02733227238059044,1.1677011251449585,5.4356794357299805,4.975618839263916,0.08463718324557176,0.52527,0.45843,0.12724884345193901,0.8838,0.9652,52527,45843,0.11814366208357589
sinusoidal,T,2042,0.0002645980659408949,0.003159038256853819,0.0009363460121676326,0.9596506357192993,5.4356794357299805,6.579190731048584,0.21037136366100598,0.52527,0.3524,0.3291069354808004,0.8896,0.9652,52527,35240,0.254164489085349
sinusoidal,T+F,2042,2.5057826951071992e-05,0.00390761299058795,0.0013449443504214287,1.4237416982650757,5.4356794357299805,5.354384422302246,0.014955814519407347,0.52527,0.50675,0.035258057760770616,0.948,0.9652,52527,50675,0.09271760295573687
sinusoidal,baseline,3042,2.4389630804459255e-05,0.042170450091362,0.019051963463425636,1.2175918817520142,5.470668315887451,5.500855922698975,0.005518083910123951,0.53202,0.50561,0.0496409909401903,0.9582,0.964,53202,50561,0.11578009178828116
sinusoidal,T,3042,1.3296301268152336e-05,0.0010847158264368773,0.0002881561522372067,1.0127902030944824,5.470668315887451,5.01901388168335,0.08255927943802498,0.53202,0.5281,0.007368144054734849,0.9576,0.964,53202,52810,0.09861892983209665
sinusoidal,T+F,3042,1.2117087034814393e-05,0.001814999501220882,0.0007918017217889428,1.4277702569961548,5.470668315887451,5.403923988342285,0.012200397408728436,0.53202,0.51415,0.03358896282094668,0.9552,0.964,53202,51415,0.06899278159669248
sinusoidal,baseline,4042,2.654380308677308e-05,0.055303387343883514,0.03231525048613548,1.2439427375793457,5.426886558532715,5.344822406768799,0.01512177394511522,0.52251,0.53248,0.019080974526803168,0.9658,0.963,52251,53248,0.1055298680425952
sinusoidal,T,4042,8.052559708481404e-05,0.0038679693825542927,0.0018517717253416777,0.9614107012748718,5.426886558532715,5.8002495765686035,0.06879875118245259,0.52251,0.48681,0.06832405121433084,0.9484,0.963,52251,48681,0.15158778115440918
sinusoidal,T+F,4042,8.758414184572685e-05,0.016874151304364204,0.006648827809840441,1.3769950866699219,5.426886558532715,5.46332311630249,0.006714081338679551,0.52251,0.541,0.03538688254770245,0.9606,0.963,52251,54100,0.1567168991572887
