config,seed,reconstruction,tangent,curvature,E_mu,E_Sigma,sigma_min_min,sigma_min_p5,sigma_min_median
baseline,6042,0.0040176907,0.032516338,0.042803124,0.042230844497680664,0.01759456843137741,1.1311930418014526,1.153774619102478,1.240727186203003
T,6042,0.007429639,0.003800449,0.007332689,0.008639957755804062,0.0026947036385536194,1.0270614624023438,1.0640009641647339,1.2031694650650024
K,6042,0.004988728,0.01823647,0.019677887,0.010568788275122643,0.00817312952131033,1.1371090412139893,1.1742331981658936,1.2462102174758911
F,6042,0.105850495,0.61963356,0.2578778,0.7553824186325073,0.9284636974334717,1.5693585872650146,1.5719850063323975,1.70039701461792
C,6042,0.07868409,0.48739573,0.20173927,0.5009623169898987,0.6544686555862427,2.442172050476074,2.4737818241119385,2.687748670578003
T+K,6042,0.0054293517,0.0028589217,0.006509739,0.006894848309457302,0.002060642698779702,1.0298171043395996,1.0729745626449585,1.216625452041626
T+F,6042,0.00032495242,0.0015794112,0.004358376,0.0035836673341691494,0.001397505635395646,1.403390645980835,1.4195040464401245,1.5209672451019287
F+K,6042,0.2478356,0.6990121,0.23834255,0.4149358868598938,0.2682480812072754,1.592934012413025,1.624569296836853,1.700202226638794
T+F+K,6042,0.00023459822,0.0015122218,0.003884039,0.0031284024007618427,0.001217587385326624,1.3832566738128662,1.4017103910446167,1.4987235069274902
baseline,7042,0.005301536,0.03177085,0.03834934,0.04369935393333435,0.018965721130371094,1.104835867881775,1.1440569162368774,1.2512370347976685
T,7042,0.0037688676,0.0017600248,0.0037613744,0.003874910995364189,0.0013475134037435055,1.044858694076538,1.0936119556427002,1.244760274887085
K,7042,0.0033395153,0.008800213,0.010697233,0.008225648663938046,0.0034489422105252743,1.1122795343399048,1.1362119913101196,1.2641125917434692
F,7042,0.09553688,0.57489645,0.24148962,0.7276044487953186,0.6880475878715515,1.7751880884170532,1.8075742721557617,1.845773696899414
C,7042,0.07091036,0.3722393,0.15741546,0.3003557324409485,0.22484470903873444,2.1937665939331055,2.279144048690796,2.976749897003174
T+K,7042,0.0038502887,0.0017011056,0.003695153,0.0035705738700926304,0.001111913938075304,1.0578054189682007,1.0947679281234741,1.2417176961898804
T+F,7042,0.0020423364,0.0023961158,0.0041764784,0.005628046113997698,0.0022164378315210342,1.3456271886825562,1.3700960874557495,1.5366188287734985
F+K,7042,0.29594913,0.8415824,0.2879744,0.5497056245803833,0.3297659158706665,1.6206883192062378,1.6398749351501465,1.6878831386566162
T+F+K,7042,0.0057381517,0.005742122,0.0052022333,0.010861823335289955,0.004955018870532513,1.3198493719100952,1.3519256114959717,1.5168931484222412
baseline,8042,0.007912178,0.04897429,0.042957652,0.04804997518658638,0.02949357032775879,1.1434624195098877,1.1849724054336548,1.2824019193649292
T,8042,0.0027629733,0.0013991706,0.0025383735,0.0024793928023427725,0.0006963925552554429,1.0521668195724487,1.0938268899917603,1.1982269287109375
K,8042,0.007140561,0.042504143,0.03371618,0.02504424937069416,0.01736290752887726,1.108365535736084,1.1622297763824463,1.251007080078125
F,8042,0.087268375,0.4587937,0.17313403,0.3397299647331238,0.4491741955280304,1.3593642711639404,1.3920732736587524,1.6770811080932617
C,8042,0.13730356,0.69410557,0.28131726,0.784518301486969,0.9905045032501221,4.230251789093018,4.275325298309326,4.409295558929443
T+K,8042,0.0036466804,0.0017308914,0.0029735419,0.003113959450274706,0.0013699213741347194,1.0746325254440308,1.1134965419769287,1.2020084857940674
T+F,8042,0.0009535533,0.002645983,0.005491276,0.006040844134986401,0.0016085740644484758,1.4185588359832764,1.4363538026809692,1.5583701133728027
F+K,8042,0.31187284,0.84190184,0.28679696,0.5005210638046265,0.401149183511734,1.6101269721984863,1.6121593713760376,1.6873347759246826
T+F+K,8042,0.0009771107,0.0022030843,0.0043266807,0.004837035201489925,0.0013921253848820925,1.440673589706421,1.4560506343841553,1.5681756734848022
baseline,9042,0.0055685816,0.026089918,0.023788594,0.032597001641988754,0.019712328910827637,1.0081024169921875,1.094889521598816,1.2051912546157837
T,9042,0.009732649,0.0032594267,0.0034114062,0.005052423104643822,0.0020344506483525038,0.9622945785522461,1.0171482563018799,1.168003797531128
K,9042,0.0056402064,0.022515887,0.015706118,0.01648334600031376,0.016194136813282967,1.053044080734253,1.1214406490325928,1.207822322845459
F,9042,0.06687135,0.4282005,0.18898271,0.6403372287750244,0.5855447053909302,1.5797830820083618,1.6131165027618408,1.8828740119934082
C,9042,0.10542585,0.6144059,0.28003645,1.0597723722457886,0.9001260995864868,4.114815711975098,4.160262584686279,4.335623741149902
T+K,9042,0.0034109084,0.0012708488,0.0026248307,0.0023432732559740543,0.0006038185674697161,0.9823716878890991,1.0359299182891846,1.1824212074279785
T+F,9042,0.013149208,0.0045127473,0.0051271,0.010579144582152367,0.003610825166106224,1.245794653892517,1.2586318254470825,1.434995412826538
F+K,9042,0.17178959,0.60300416,0.23234804,0.3221129775047302,0.3076392412185669,1.425933599472046,1.4402216672897339,1.7681386470794678
T+F+K,9042,0.00036681458,0.0017694521,0.004183979,0.006554445717483759,0.0014970195479691029,1.3204474449157715,1.3378369808197021,1.4937827587127686
