time,ensemble_survival,MTE,RPD,surface,config,seed,sim_mode,W2,MMD,drift_coeff_error,cov_coeff_error
4.0,0.0,,,half_torus,T+F,1042,end_to_end,,,,
5.0,0.0,,,half_torus,T+F,1042,end_to_end,,,,
0.1,0.9950000047683716,0.5069671707536707,0.28022467253077676,half_torus,T+F+K,1042,learned_latent,,,,
0.2,0.9899999499320984,0.5505662012581873,0.24599012722921787,half_torus,T+F+K,1042,learned_latent,,,,
0.5,0.9049999713897705,0.5792898104335722,0.21392636332058182,half_torus,T+F+K,1042,learned_latent,,,,
1.0,0.7649999856948853,0.6459695653977737,0.23163717425770702,half_torus,T+F+K,1042,learned_latent,0.8405866350986968,0.10861870646476746,,
2.0,0.4949999749660492,,,half_torus,T+F+K,1042,learned_latent,0.8580025221161608,0.11751358956098557,,
3.0,0.3799999952316284,,,half_torus,T+F+K,1042,learned_latent,0.8400675836034015,0.10876074433326721,,
4.0,0.2199999988079071,,,half_torus,T+F+K,1042,learned_latent,0.9098227161785213,0.116298608481884,,
5.0,0.13499999046325684,,,half_torus,T+F+K,1042,learned_latent,0.6658970112032143,0.08461225032806396,,
0.1,0.8399999737739563,2.715509505498977,1.5009902136294349,half_torus,T+F+K,1042,end_to_end,,,105.7077865600586,821.0952758789062
0.2,0.6850000023841858,3.2521168506928606,1.4530289655231967,half_torus,T+F+K,1042,end_to_end,,,93.57373046875,1065.819580078125
0.5,0.3400000035762787,3.50286304249483,1.2935748884140212,half_torus,T+F+K,1042,end_to_end,,,66.48673248291016,1136.806640625
1.0,0.04999999701976776,4.791739273071289,1.718261980826346,half_torus,T+F+K,1042,end_to_end,2.8586926404878765,0.48287609219551086,168.8438262939453,2084.976318359375
2.0,0.0,,,half_torus,T+F+K,1042,end_to_end,,,,
3.0,0.0,,,half_torus,T+F+K,1042,end_to_end,,,,
4.0,0.0,,,half_torus,T+F+K,1042,end_to_end,,,,
5.0,0.0,,,half_torus,T+F+K,1042,end_to_end,,,,
0.1,1.0,0.4202626800537109,0.2501075156484613,half_torus,baseline,2042,learned_latent,,,,
0.2,0.9899999499320984,0.5225180423620975,0.2448339486046892,half_torus,baseline,2042,learned_latent,,,,
0.5,0.9099999666213989,0.5953961047497425,0.22485901617209664,half_torus,baseline,2042,learned_latent,,,,
1.0,0.7749999761581421,0.5737681727255545,0.20418573498526477,half_torus,baseline,2042,learned_latent,0.7489156585556478,0.1017255187034607,,
2.0,0.5049999952316284,,,half_torus,baseline,2042,learned_latent,0.7213287172678807,0.08916248381137848,,
3.0,0.32999998331069946,,,half_torus,baseline,2042,learned_latent,0.8947091485389395,0.13448403775691986,,
4.0,0.17000000178813934,,,half_torus,baseline,2042,learned_latent,0.9551487977628283,0.16388656198978424,,
5.0,0.10499999672174454,,,half_torus,baseline,2042,learned_latent,0.9539706419279218,0.18498128652572632,,
0.1,0.8149999976158142,2.6477973797569976,1.5757621507265227,half_torus,baseline,2042,end_to_end,,,14.42503547668457,438.3885803222656
0.2,0.5799999833106995,2.977577472555226,1.395190195895421,half_torus,baseline,2042,end_to_end,,,24.00996971130371,295.8096618652344
0.5,0.23499999940395355,3.2983654915018286,1.245670257965214,half_torus,baseline,2042,end_to_end,,,22.923141479492188,369.8928527832031
1.0,0.029999999329447746,3.835221608479818,1.3648326627092178,half_torus,baseline,2042,end_to_end,2.89532394432153,0.4811848998069763,98.65890502929688,5578.58935546875
2.0,0.0,,,half_torus,baseline,2042,end_to_end,,,,
3.0,0.0,,,half_torus,baseline,2042,end_to_end,,,,
4.0,0.0,,,half_torus,baseline,2042,end_to_end,,,,
5.0,0.0,,,half_torus,baseline,2042,end_to_end,,,,
0.1,1.0,0.4638944625854492,0.2760737440343182,half_torus,T+F,2042,learned_latent,,,,
0.2,0.9899999499320984,0.5528178359522964,0.2590313877458521,half_torus,T+F,2042,learned_latent,,,,
0.5,0.9099999666213989,0.6008400550255408,0.22691499418965583,half_torus,T+F,2042,learned_latent,,,,
1.0,0.7749999761581421,0.6068676364037299,0.21596477509242495,half_torus,T+F,2042,learned_latent,0.7409907842081044,0.10865382850170135,,
2.0,0.5049999952316284,,,half_torus,T+F,2042,learned_latent,0.6962462146087287,0.09570188075304031,,
3.0,0.32999998331069946,,,half_torus,T+F,2042,learned_latent,0.9055366783066552,0.13489118218421936,,
4.0,0.17000000178813934,,,half_torus,T+F,2042,learned_latent,0.9687043935692022,0.17752733826637268,,
5.0,0.10499999672174454,,,half_torus,T+F,2042,learned_latent,0.9542280257333695,0.18476398289203644,,
0.1,0.8149999976158142,2.6452056323092408,1.5742197451166222,half_torus,T+F,2042,end_to_end,,,116.82109832763672,804.7877807617188
0.2,0.5999999642372131,3.2028935750325522,1.5007655570913008,half_torus,T+F,2042,end_to_end,,,145.62619018554688,835.9447021484375
0.5,0.22499999403953552,3.57974853515625,1.3519381926374396,half_torus,T+F,2042,end_to_end,,,175.71743774414062,499.96728515625
1.0,0.06499999761581421,3.4765149630033054,1.2371804443876657,half_torus,T+F,2042,end_to_end,2.1627865997172657,0.22218164801597595,71.69546508789062,193.17160034179688
2.0,0.0,,,half_torus,T+F,2042,end_to_end,,,,
3.0,0.0,,,half_torus,T+F,2042,end_to_end,,,,
4.0,0.0,,,half_torus,T+F,2042,end_to_end,,,,
5.0,0.0,,,half_torus,T+F,2042,end_to_end,,,,
0.1,1.0,0.38688030242919924,0.2302409323652672,half_torus,T+F+K,2042,learned_latent,,,,
0.2,0.9899999499320984,0.4788259641088621,0.22436134637046506,half_torus,T+F+K,2042,learned_latent,,,,
0.5,0.9099999666213989,0.5365746047470595,0.20264431823427648,half_torus,T+F+K,2042,learned_latent,,,,
1.0,0.7749999761581421,0.5151075793850807,0.18331030665852566,half_torus,T+F+K,2042,learned_latent,0.6812319962876339,0.09474732726812363,,
2.0,0.5049999952316284,,,half_torus,T+F+K,2042,learned_latent,0.6751936573535134,0.08385084569454193,,
3.0,0.32999998331069946,,,half_torus,T+F+K,2042,learned_latent,0.8606493704135298,0.1310555338859558,,
4.0,0.17000000178813934,,,half_torus,T+F+K,2042,learned_latent,0.9228675154664457,0.17134636640548706,,
5.0,0.10499999672174454,,,half_torus,T+F+K,2042,learned_latent,0.8287256535391956,0.16265080869197845,,
0.1,0.8299999833106995,2.961665693535862,1.7625520512477177,half_torus,T+F+K,2042,end_to_end,,,36.708396911621094,570.178955078125
0.2,0.6399999856948853,3.2372965812683105,1.5168856202808805,half_torus,T+F+K,2042,end_to_end,,,29.412221908569336,882.3300170898438
0.5,0.3100000023841858,2.835879418157762,1.0710064289346999,half_torus,T+F+K,2042,end_to_end,,,9.805939674377441,215.01223754882812
1.0,0.10999999940395355,3.5985464616255327,1.2806075503548195,half_torus,T+F+K,2042,end_to_end,1.761575664017334,0.25190794467926025,83.79046630859375,1672.0667724609375
2.0,0.014999999664723873,,,half_torus,T+F+K,2042,end_to_end,3.1488894463489183,0.37171289324760437,,
