surface,config,seed,reconstruction,tangent,curvature,sigma_min_min,sigma_min_p5,sigma_min_median
paraboloid,T+K,5042,0.25812134,0.068677045,1.1145865,0.7491742968559265,0.7900468111038208,0.9878040552139282
paraboloid,T+F,5042,0.14517649,0.09726805,1.0417831,0.8866260647773743,0.9484437704086304,1.3311161994934082
paraboloid,F+K,5042,0.49034572,0.6747767,2.9660542,1.5092829465866089,1.613692283630371,1.7984874248504639
paraboloid,T+F+K,5042,0.17624585,0.09803018,0.6547619,0.939416229724884,0.9984904527664185,1.3134498596191406
paraboloid,baseline,6042,0.3142737,0.33738697,8.117001,0.7085418105125427,0.8124608397483826,1.2427623271942139
paraboloid,T,6042,0.14259788,0.034419306,1.2645193,0.5617733001708984,0.5923923254013062,0.9454687833786011
paraboloid,K,6042,0.28519267,0.3644436,3.2499013,1.0046466588974,1.0505986213684082,1.138115406036377
paraboloid,F,6042,0.27383545,0.6717011,2.7294385,1.6955981254577637,1.7368643283843994,1.7634100914001465
paraboloid,C,6042,0.29671672,0.6751601,2.7348194,4.798622131347656,4.853567600250244,4.9987568855285645
paraboloid,T+K,6042,0.14690995,0.036091246,0.76646584,0.6605314612388611,0.6727509498596191,0.9175589084625244
paraboloid,T+F,6042,0.061139524,0.019823639,0.51851684,0.7350859642028809,0.8392259478569031,1.2801837921142578
paraboloid,F+K,6042,0.46182948,0.6778887,2.762898,1.8329031467437744,1.8700486421585083,1.8924840688705444
paraboloid,T+F+K,6042,0.07375807,0.012695937,0.27003425,0.7540858387947083,0.8853461742401123,1.3642650842666626
paraboloid,baseline,7042,0.14036864,0.16524725,2.0275571,0.7296708226203918,0.8005048036575317,1.120913028717041
paraboloid,T,7042,0.08259453,0.012079624,0.19420367,0.8424076437950134,0.8688516616821289,1.022368311882019
paraboloid,K,7042,0.23763645,0.20543528,1.9293408,0.6882732510566711,0.7900906205177307,1.2620806694030762
paraboloid,F,7042,0.32147363,0.6663891,2.70015,1.7880207300186157,1.8443572521209717,1.8786594867706299
paraboloid,C,7042,0.3280415,0.67322636,2.752321,5.360646724700928,5.3701276779174805,5.4479804039001465
paraboloid,T+K,7042,0.06579683,0.0058592195,0.13520303,0.8063610792160034,0.8409464359283447,1.0724928379058838
paraboloid,T+F,7042,0.016790606,0.00822646,0.14379841,1.028952956199646,1.06779944896698,1.2806334495544434
paraboloid,F+K,7042,0.43840024,0.6714898,2.7394803,1.6482059955596924,1.7055033445358276,1.7581921815872192
