time,ensemble_survival,MTE,RPD,surface,config,seed,sim_mode,W2,MMD,drift_coeff_error,cov_coeff_error
2.0,0.10499999672174454,,,paraboloid,baseline,2042,end_to_end,1.6441528106664032,0.1726362556219101,,
3.0,0.019999999552965164,,,paraboloid,baseline,2042,end_to_end,2.576624441860601,0.3329297602176666,,
4.0,0.0,,,paraboloid,baseline,2042,end_to_end,2.8847117253313765,0.37784087657928467,,
5.0,0.0,,,paraboloid,baseline,2042,end_to_end,,,,
0.1,1.0,0.19394001007080078,0.25214548108959206,paraboloid,T+F,2042,learned_latent,,,,
0.2,0.9899999499320984,0.40643048527264836,0.3586630395310808,paraboloid,T+F,2042,learned_latent,,,,
0.5,0.9099999666213989,0.8539472307477679,0.4574024902779497,paraboloid,T+F,2042,learned_latent,,,,
1.0,0.7749999761581421,0.7012555522303427,0.3837346159998015,paraboloid,T+F,2042,learned_latent,1.4635247004906227,0.14759668707847595,,
2.0,0.5049999952316284,,,paraboloid,T+F,2042,learned_latent,1.5001830838450345,0.1406317800283432,,
3.0,0.32999998331069946,,,paraboloid,T+F,2042,learned_latent,2.153180320250495,0.2752252221107483,,
4.0,0.17000000178813934,,,paraboloid,T+F,2042,learned_latent,2.4510653834502296,0.26173171401023865,,
5.0,0.10499999672174454,,,paraboloid,T+F,2042,learned_latent,1.1024492867531364,0.21686531603336334,,
0.1,0.9699999690055847,0.505866571799996,0.6576877564721577,paraboloid,T+F,2042,end_to_end,,,0.07946383953094482,0.06325706094503403
0.2,0.8899999856948853,0.7972238947836201,0.7035268161493454,paraboloid,T+F,2042,end_to_end,,,0.09418541193008423,0.07128980755805969
0.5,0.6150000095367432,0.9311971897032203,0.4987801332139804,paraboloid,T+F,2042,end_to_end,,,0.05349583178758621,0.08583910018205643
1.0,0.3999999761581421,1.2727837562561035,0.6964810252187372,paraboloid,T+F,2042,end_to_end,1.4496615775852022,0.19036675989627838,0.049127932637929916,0.04224526882171631
2.0,0.1550000011920929,,,paraboloid,T+F,2042,end_to_end,1.4443508680941437,0.15632779896259308,,
3.0,0.05999999865889549,,,paraboloid,T+F,2042,end_to_end,2.1869106052852803,0.2522883415222168,,
4.0,0.004999999888241291,,,paraboloid,T+F,2042,end_to_end,2.6364495091322344,0.26293569803237915,,
5.0,0.0,,,paraboloid,T+F,2042,end_to_end,,,,
0.1,1.0,0.20333745956420898,0.26436330258328755,paraboloid,T+F+K,2042,learned_latent,,,,
0.2,0.9899999499320984,0.4230709268589212,0.3733477434958148,paraboloid,T+F+K,2042,learned_latent,,,,
0.5,0.9099999666213989,0.8933367886386074,0.47850084533021775,paraboloid,T+F+K,2042,learned_latent,,,,
1.0,0.7749999761581421,0.731707271452873,0.4003981258219,paraboloid,T+F+K,2042,learned_latent,1.49621253657526,0.15396468341350555,,
2.0,0.5049999952316284,,,paraboloid,T+F+K,2042,learned_latent,1.5471818612417094,0.1516748070716858,,
3.0,0.32999998331069946,,,paraboloid,T+F+K,2042,learned_latent,2.2361039971368872,0.2820013463497162,,
4.0,0.17000000178813934,,,paraboloid,T+F+K,2042,learned_latent,2.5074932217756642,0.2640450596809387,,
5.0,0.10499999672174454,,,paraboloid,T+F+K,2042,learned_latent,1.1846185224456298,0.23157326877117157,,
0.1,0.9799999594688416,0.46837931263203525,0.6089497833526092,paraboloid,T+F+K,2042,end_to_end,,,0.0099713783711195,0.013015261851251125
0.2,0.9049999713897705,0.7529557370349188,0.664461459125402,paraboloid,T+F+K,2042,end_to_end,,,0.013363675214350224,0.01639029011130333
0.5,0.6549999713897705,0.9338434816316794,0.5001975750353207,paraboloid,T+F+K,2042,end_to_end,,,0.015443246811628342,0.022137947380542755
1.0,0.4099999964237213,1.3924439593059261,0.7619603813846036,paraboloid,T+F+K,2042,end_to_end,1.4020115173046264,0.17726761102676392,0.012958223931491375,0.01802821084856987
2.0,0.1599999964237213,,,paraboloid,T+F+K,2042,end_to_end,1.5096647099939753,0.1616048663854599,,
3.0,0.06499999761581421,,,paraboloid,T+F+K,2042,end_to_end,2.2970277849533187,0.2628321051597595,,
4.0,0.009999999776482582,,,paraboloid,T+F+K,2042,end_to_end,2.2968579164041163,0.19446441531181335,,
5.0,0.004999999888241291,,,paraboloid,T+F+K,2042,end_to_end,1.8675136155963337,0.29916641116142273,,
0.1,0.9899999499320984,0.40085085473879417,0.5777770832277884,paraboloid,baseline,3042,learned_latent,,,,
0.2,0.9899999499320984,0.6081079425233783,0.5479283399198946,paraboloid,baseline,3042,learned_latent,,,,
0.5,0.9049999713897705,0.7226328981515452,0.4880584574765819,paraboloid,baseline,3042,learned_latent,,,,
1.0,0.7450000047683716,0.8441180542811452,0.45773307676664277,paraboloid,baseline,3042,learned_latent,1.8037030784033126,0.1580255776643753,,
2.0,0.5249999761581421,,,paraboloid,baseline,3042,learned_latent,2.5483002747550016,0.29482483863830566,,
3.0,0.3149999976158142,,,paraboloid,baseline,3042,learned_latent,1.9130124756465716,0.28882959485054016,,
4.0,0.20499999821186066,,,paraboloid,baseline,3042,learned_latent,2.328213032098239,0.314642995595932,,
5.0,0.10499999672174454,,,paraboloid,baseline,3042,learned_latent,1.0094904207911048,0.2090359926223755,,
0.1,0.9350000023841858,1.234476344470672,1.779345442800023,paraboloid,baseline,3042,end_to_end,,,0.4838605523109436,0.5183351039886475
0.2,0.7749999761581421,1.6233849310105848,1.4627314463425318,paraboloid,baseline,3042,end_to_end,,,0.37941741943359375,0.350882887840271
0.5,0.4949999749660492,1.8789891715001579,1.269048999849505,paraboloid,baseline,3042,end_to_end,,,0.49567222595214844,0.41075873374938965
1.0,0.25,2.034523162841797,1.103244436435671,paraboloid,baseline,3042,end_to_end,1.6026626583785426,0.16236984729766846,0.4477139115333557,0.255024254322052
2.0,0.09999999403953552,,,paraboloid,baseline,3042,end_to_end,2.4575048342304187,0.250046968460083,,
3.0,0.029999999329447746,,,paraboloid,baseline,3042,end_to_end,2.1760523348015504,0.4212186634540558,,
4.0,0.0,,,paraboloid,baseline,3042,end_to_end,,,,
