surface,config,seed,distance,reconstruction,tangent,curvature
paraboloid,T+K,7042,0.5,5.9197526,0.38574675,0.15736218
paraboloid,T+F,7042,0.0,0.014999325,0.0071755983,0.012684046
paraboloid,T+F,7042,0.1,0.11379131,0.021683488,0.011017282
paraboloid,T+F,7042,0.2,0.38701677,0.034563012,0.013231236
paraboloid,T+F,7042,0.3,0.95891654,0.05683566,0.020269146
paraboloid,T+F,7042,0.4,1.8536807,0.08242538,0.039261412
paraboloid,T+F,7042,0.5,3.1534135,0.11543211,0.052530494
paraboloid,T+F+K,7042,0.0,0.0048735472,0.003817258,0.007214505
paraboloid,T+F+K,7042,0.1,0.10703485,0.018011408,0.008291932
paraboloid,T+F+K,7042,0.2,0.38553643,0.030084385,0.010089956
paraboloid,T+F+K,7042,0.3,0.96300083,0.049287856,0.016559826
paraboloid,T+F+K,7042,0.4,1.8853213,0.07164766,0.03528423
paraboloid,T+F+K,7042,0.5,3.2324493,0.10283157,0.049561046
paraboloid,baseline,8042,0.0,0.18939425,0.3164438,0.36463296
paraboloid,baseline,8042,0.1,0.82455444,0.41672763,0.2208698
paraboloid,baseline,8042,0.2,1.4524645,0.39078474,0.23350954
paraboloid,baseline,8042,0.3,2.3641195,0.3991482,0.2251401
paraboloid,baseline,8042,0.4,3.5343668,0.40685594,0.23407714
paraboloid,baseline,8042,0.5,5.016883,0.3777981,0.1952964
paraboloid,T,8042,0.0,0.059299257,0.018142253,0.010182929
paraboloid,T,8042,0.1,0.45696115,0.086254016,0.02483849
paraboloid,T,8042,0.2,0.999901,0.13375011,0.03381045
paraboloid,T,8042,0.3,1.9596878,0.16527371,0.046869505
paraboloid,T,8042,0.4,3.1608088,0.20469615,0.06710709
paraboloid,T,8042,0.5,5.021565,0.2556937,0.13003042
paraboloid,K,8042,0.0,0.19607738,0.27363178,0.32072955
paraboloid,K,8042,0.1,0.8576165,0.3581134,0.19790049
paraboloid,K,8042,0.2,1.4949954,0.3355056,0.22624958
paraboloid,K,8042,0.3,2.4037514,0.3469007,0.21021743
paraboloid,K,8042,0.4,3.595915,0.36480945,0.2242091
paraboloid,K,8042,0.5,5.111597,0.3455109,0.18247625
paraboloid,T+K,8042,0.0,0.057632558,0.0166094,0.009615587
paraboloid,T+K,8042,0.1,0.4525705,0.08129128,0.024022857
paraboloid,T+K,8042,0.2,0.987437,0.12889278,0.03318019
paraboloid,T+K,8042,0.3,1.9395471,0.16087118,0.046501987
paraboloid,T+K,8042,0.4,3.1321034,0.20079026,0.067377225
paraboloid,T+K,8042,0.5,4.9846077,0.25367627,0.12958866
paraboloid,T+F,8042,0.0,0.012320124,0.011214245,0.021789102
paraboloid,T+F,8042,0.1,0.17884563,0.03562681,0.020404976
paraboloid,T+F,8042,0.2,0.6515509,0.056196406,0.04120959
paraboloid,T+F,8042,0.3,1.3376417,0.093348786,0.061191205
paraboloid,T+F,8042,0.4,2.4039319,0.14764097,0.088002056
paraboloid,T+F,8042,0.5,3.6997247,0.19217704,0.07601248
paraboloid,T+F+K,8042,0.0,0.03579537,0.017961323,0.026895493
paraboloid,T+F+K,8042,0.1,0.19731659,0.039744843,0.021040011
paraboloid,T+F+K,8042,0.2,0.65900755,0.061258443,0.04874525
paraboloid,T+F+K,8042,0.3,1.3044757,0.10161258,0.073307306
paraboloid,T+F+K,8042,0.4,2.3431451,0.16339523,0.092496544
paraboloid,T+F+K,8042,0.5,3.6016858,0.21021333,0.076896966
paraboloid,baseline,9042,0.0,0.1172789,0.29144108,0.39989194
paraboloid,baseline,9042,0.1,0.6866069,0.39230108,0.3914809
paraboloid,baseline,9042,0.2,1.1519666,0.42490062,0.23633656
paraboloid,baseline,9042,0.3,1.74579,0.4009722,0.2452462
paraboloid,baseline,9042,0.4,2.876083,0.44011664,0.3320821
paraboloid,baseline,9042,0.5,4.509704,0.45650226,0.22881332
paraboloid,T,9042,0.0,0.047832288,0.01122464,0.015835745
paraboloid,T,9042,0.1,0.56073457,0.07682471,0.05084876
paraboloid,T,9042,0.2,1.1499594,0.14129996,0.05925708
paraboloid,T,9042,0.3,1.8709213,0.20054415,0.09857121
paraboloid,T,9042,0.4,3.008532,0.2989486,0.086176746
paraboloid,T,9042,0.5,4.531479,0.3804005,0.09028014
paraboloid,K,9042,0.0,0.17357554,0.26774213,0.3074872
paraboloid,K,9042,0.1,0.8901168,0.38080177,0.19062756
paraboloid,K,9042,0.2,1.3691556,0.41550934,0.12093478
paraboloid,K,9042,0.3,2.0328288,0.40500388,0.12793282
paraboloid,K,9042,0.4,3.1803799,0.4374817,0.13694845
paraboloid,K,9042,0.5,4.9303155,0.46832782,0.11153198
paraboloid,T+K,9042,0.0,0.045727212,0.009283336,0.012383797
paraboloid,T+K,9042,0.1,0.5438453,0.07174426,0.048289634
paraboloid,T+K,9042,0.2,1.1240287,0.13673502,0.056008212
paraboloid,T+K,9042,0.3,1.8416585,0.19493507,0.09319898
paraboloid,T+K,9042,0.4,2.978121,0.2916949,0.08267453
paraboloid,T+K,9042,0.5,4.5049562,0.3733134,0.0888333
paraboloid,T+F,9042,0.0,0.050499108,0.012090894,0.03475605
paraboloid,T+F,9042,0.1,0.32708475,0.026209285,0.022339355
paraboloid,T+F,9042,0.2,0.70223033,0.049335673,0.032943793
paraboloid,T+F,9042,0.3,1.149536,0.077117115,0.040679507
paraboloid,T+F,9042,0.4,2.1933684,0.14020936,0.054751955
paraboloid,T+F,9042,0.5,3.5961707,0.19516854,0.0892881
paraboloid,T+F+K,9042,0.0,0.018190525,0.006008545,0.010774962
paraboloid,T+F+K,9042,0.1,0.24863291,0.02518495,0.020096581
paraboloid,T+F+K,9042,0.2,0.59585214,0.051008094,0.031578187
paraboloid,T+F+K,9042,0.3,1.0017358,0.083019674,0.036945745
paraboloid,T+F+K,9042,0.4,1.9485942,0.14846227,0.050685115
paraboloid,T+F+K,9042,0.5,3.237925,0.20504615,0.07679585
hyperbolic_paraboloid,baseline,42,0.0,0.07922343,0.18577182,0.13369519
hyperbolic_paraboloid,baseline,42,0.1,0.3209018,0.22335467,0.08271391
hyperbolic_paraboloid,baseline,42,0.2,0.50851387,0.2484845,0.083676316
hyperbolic_paraboloid,baseline,42,0.3,0.71421623,0.23315156,0.08128366
hyperbolic_paraboloid,baseline,42,0.4,1.1014181,0.25207657,0.07435009
hyperbolic_paraboloid,baseline,42,0.5,1.5946972,0.26862243,0.084903024
hyperbolic_paraboloid,T,42,0.0,0.2317829,0.09529307,6.2547727
hyperbolic_paraboloid,T,42,0.1,0.6078897,0.17237683,43.77659
hyperbolic_paraboloid,T,42,0.2,0.9092972,0.21650834,40.273964
hyperbolic_paraboloid,T,42,0.3,1.4165329,0.22357985,17.939629
hyperbolic_paraboloid,T,42,0.4,1.922949,0.29830006,30.422667
hyperbolic_paraboloid,T,42,0.5,2.737545,0.29419062,44.77998
hyperbolic_paraboloid,K,42,0.0,0.041152015,0.029743811,0.019061975
hyperbolic_paraboloid,K,42,0.1,0.22985643,0.056457315,0.024940435
hyperbolic_paraboloid,K,42,0.2,0.4078939,0.07280889,0.030415917
hyperbolic_paraboloid,K,42,0.3,0.601436,0.08348394,0.03346286
hyperbolic_paraboloid,K,42,0.4,0.9653738,0.10255375,0.042619627
hyperbolic_paraboloid,K,42,0.5,1.4014016,0.11000013,0.04710685
hyperbolic_paraboloid,T+K,42,0.0,0.18398978,0.07514327,5.671307
hyperbolic_paraboloid,T+K,42,0.1,0.4794944,0.116235785,10576.879
hyperbolic_paraboloid,T+K,42,0.2,0.75531447,0.1658654,12718.781
hyperbolic_paraboloid,T+K,42,0.3,1.204407,0.17601989,5.094603
hyperbolic_paraboloid,T+K,42,0.4,1.6988236,0.20966156,1.1141133
hyperbolic_paraboloid,T+K,42,0.5,2.4423716,0.25430644,6.665565
hyperbolic_paraboloid,T+F,42,0.0,0.3616668,0.35054544,0.5446217
hyperbolic_paraboloid,T+F,42,0.1,0.6206072,0.42149693,0.5351978
hyperbolic_paraboloid,T+F,42,0.2,0.7876808,0.46374905,0.311202
hyperbolic_paraboloid,T+F,42,0.3,1.1582309,0.508963,0.32542828
hyperbolic_paraboloid,T+F,42,0.4,1.4533266,0.4793729,0.26064876
hyperbolic_paraboloid,T+F,42,0.5,1.8002185,0.43019292,0.2378256
hyperbolic_paraboloid,T+F+K,42,0.0,0.36680323,0.34742925,0.32944024
