surface,config,seed,ae_loss,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,sW2@0.5,sW2@1.0,MMD@1.0,survival@1.0,stopped@1.0,E_mu_held,drift_loss_final,diff_loss_final
hyperbolic_paraboloid,T+F+K+S,8042,0.0012903769966214895,0.8562834167480469,1.6612668950506981,2.3214287907822326,1.295829886376315,1.021283483067912,1.7518251331913206,0.2350395917892456,0.7949999570846558,0.29999998211860657,0.10464043915271759,0.2056891918182373,0.11662545800209045
hyperbolic_paraboloid,baseline,9042,0.006581764668226242,1.1248249053955077,1.9528935333418715,2.6250188727127877,1.7247434788796998,1.1774149142650165,1.5164118124266797,0.18756103515625,0.7599999904632568,0.3199999928474426,0.2682115137577057,0.02669074758887291,1.1395766735076904
hyperbolic_paraboloid,T+F,9042,0.028141671791672707,0.8927053070068359,1.746246671416069,2.3120839972245064,1.166406996341442,1.1743857490241385,1.3541350934955743,0.16787220537662506,0.7599999904632568,0.3199999928474426,0.039634350687265396,0.010117833502590656,0.0647275373339653
hyperbolic_paraboloid,T+F+K,9042,0.009895451366901398,0.9481055450439453,1.8052531591530054,2.3583438270970394,1.5232479217851482,1.2232918836691105,1.148827169505328,0.14529792964458466,0.7599999904632568,0.3199999928474426,0.026850949972867966,0.0061897276900708675,0.10412565618753433
hyperbolic_paraboloid,T+F+K+S,9042,0.009895451366901398,0.9557680511474609,1.8172342269147028,2.3753834774619653,1.5330540744924748,1.2748538800816047,1.3150512165054733,0.16632875800132751,0.7599999904632568,0.3199999928474426,0.056125715374946594,0.20300957560539246,0.10412565618753433
sinusoidal,baseline,42,0.001220214064233005,0.6922956085205079,1.389998892079229,1.8428887261284723,0.7254870678267747,0.5187196378668639,0.6059230447306585,0.18355153501033783,0.7649999856948853,0.23999999463558197,0.04040483385324478,0.006722330581396818,0.21130158007144928
sinusoidal,T+F,42,0.002165968995541334,0.681338119506836,1.4338030607804009,1.9412351122089462,0.7997411037927507,0.6134248180006817,0.6412931254414015,0.1987568587064743,0.7649999856948853,0.23999999463558197,0.020071694627404213,0.009638771414756775,0.014447299763560295
sinusoidal,T+F+K,42,0.00875950325280428,0.6826387023925782,1.4338788571565046,1.9703528709660947,0.9325231412480589,0.6715320770237401,0.677274062118462,0.1996903121471405,0.7649999856948853,0.23999999463558197,0.008636980317533016,0.00640477379783988,0.010287382639944553
sinusoidal,T+F+K+S,42,0.00875950325280428,0.6924142456054687,1.4726683575174082,2.064045426113154,0.968294343990317,0.7440228392467475,0.8737325255233088,0.1878265142440796,0.7649999856948853,0.23999999463558197,0.07592208683490753,0.14595501124858856,0.010287382639944553
sinusoidal,baseline,1042,0.0008001101668924093,0.8655253654748352,1.5200540597098213,1.8973865509033203,0.7444835261745946,0.650366725912119,0.599615243253887,0.14716801047325134,0.7199999690055847,0.26499998569488525,0.04397135600447655,0.0026864525862038136,0.0756506398320198
sinusoidal,T+F,1042,0.00502739567309618,0.7410227713273398,1.37650634765625,1.7238510979546442,0.7400548856981157,0.6616742244093846,0.6185345459814097,0.16964559257030487,0.7199999690055847,0.26499998569488525,0.014139538630843163,0.0028566920664161444,0.0067155687138438225
sinusoidal,T+F+K,1042,0.015796473249793053,0.7376776460427136,1.3839875139508928,1.7283958858913846,0.7260679364297828,0.6846472159056093,0.6408174431334556,0.16008366644382477,0.7199999690055847,0.26499998569488525,0.006876793690025806,0.0041206092573702335,0.00490556051954627
