N,D,K_pairs,surface,condition,seed,ae_loss,drift_loss,diff_loss,recon_per_dim,phase1_converged,E_mu,E_Sigma,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,MMD@1.0,survival@1.0
20,201,99,hyperbolic_paraboloid,K(Phat),2042,0.07475830614566803,0.0003681745147332549,6.433704402297735e-05,0.001082668479402267,True,0.6142301559448242,1.55330491065979,0.5702534584543812,1.4118872003240899,1.756162995745422,1.5237343006171176,0.14962653815746307,0.7849999666213989
20,201,99,hyperbolic_paraboloid,baseline,3042,0.021886922419071198,0.0003497977741062641,0.00014794422895647585,0.0017689510957518621,True,0.48347240686416626,0.9571240544319153,1.4447335815429687,2.6738825259001358,3.1199734066956797,1.8593590887228078,0.13864995539188385,0.7450000047683716
20,201,99,hyperbolic_paraboloid,K(Phat),3042,0.05579378828406334,0.00028973835287615657,0.0001817371230572462,0.0017689510957518621,True,0.46121278405189514,1.256941318511963,1.4375819396972656,2.654779517132303,3.123768236813129,1.6905109873943398,0.12862758338451385,0.7450000047683716
20,201,99,hyperbolic_paraboloid,baseline,4042,0.029048148542642593,0.0002234416315332055,3.600668060244061e-05,0.001540585240321373,True,0.5718794465065002,0.9224059581756592,1.164269027709961,2.168898697737809,2.4129221062911186,1.7120018581994643,0.1570088118314743,0.7599999904632568
20,201,99,hyperbolic_paraboloid,K(Phat),4042,0.030183900147676468,0.00016436346049886197,2.4189856048906222e-05,0.001540585240321373,True,0.4292221665382385,0.7657171487808228,1.20230224609375,2.209166474394746,2.436360007838199,1.7227727157224508,0.1673259437084198,0.7599999904632568
20,201,99,hyperbolic_paraboloid,baseline,5042,0.08108477294445038,0.00028313143411651254,9.459030843572691e-05,0.0006532233894167848,True,0.8647288680076599,2.258061408996582,1.1981143951416016,2.2814258862567205,2.8247076296338847,1.5840324322146853,0.12935076653957367,0.7649999856948853
20,201,99,hyperbolic_paraboloid,K(Phat),5042,0.07118304818868637,0.00018219077901449054,8.683434862177819e-05,0.0006532233894167848,True,0.7651822566986084,2.5116868019104004,1.1769174194335938,2.2699258455666165,2.840365540747549,1.6635049478489148,0.15218403935432434,0.7649999856948853
20,201,99,hyperbolic_paraboloid,baseline,6042,0.01848895475268364,0.00030214921571314335,3.635534449131228e-05,0.002306826227339939,True,0.8680666089057922,0.9286857843399048,1.1958689880371094,2.3831973702566964,2.6939047199406034,1.4651425765181072,0.1494196504354477,0.7299999594688416
20,201,99,hyperbolic_paraboloid,K(Phat),6042,0.02375999465584755,0.00026933097979053855,4.21837430621963e-05,0.002306826227339939,True,0.7424978613853455,0.9034571647644043,1.2532305145263671,2.4054624720982143,2.6770266180169093,1.385063943924066,0.17000743746757507,0.7299999594688416
20,201,99,hyperbolic_paraboloid,baseline,7042,0.18983767926692963,0.001039283350110054,0.0003986719239037484,0.002265660175636633,True,0.8879978656768799,4.893185138702393,1.1455318891822392,2.3120389548681115,2.481088276782067,1.8216744892429626,0.1885356903076172,0.7649999856948853
20,201,99,hyperbolic_paraboloid,K(Phat),7042,0.06250159442424774,0.00039364511030726135,0.00017620994185563177,0.002265660175636633,True,0.412945419549942,1.472300410270691,1.0320341023967494,2.1771438762705815,2.4507765427134394,1.5391936025799755,0.12548068165779114,0.7649999856948853
20,201,99,hyperbolic_paraboloid,baseline,8042,0.04455569013953209,0.00012039914872730151,0.00014798110350966454,0.0012584119590360726,True,0.950306236743927,2.1490817070007324,1.1179711151123046,1.8199534314744017,2.1915125816873036,1.3967725414110117,0.203037828207016,0.7949999570846558
20,201,99,hyperbolic_paraboloid,K(Phat),8042,0.0791487842798233,0.00014756497694179416,0.00012992620759177953,0.0012584119590360726,True,0.779218852519989,1.888319969177246,0.9499230194091797,1.6321912724921044,2.023881252456761,1.3285547759576184,0.16615702211856842,0.7949999570846558
20,201,99,hyperbolic_paraboloid,baseline,9042,0.0409221351146698,6.424029561458156e-05,8.608282951172441e-05,0.0011048523792579993,True,0.8677297830581665,1.8108083009719849,1.5487326049804688,2.485573356920253,2.912546258223684,1.5693765471074843,0.15055857598781586,0.7599999904632568
20,201,99,hyperbolic_paraboloid,K(Phat),9042,0.038375772535800934,6.0699407185893506e-05,6.542203482240438e-05,0.0011048523792579993,True,0.6680629253387451,1.5771920680999756,1.5518899536132813,2.4822504429217895,2.9278454027677836,1.5496564236037567,0.14952930808067322,0.7599999904632568
50,201,99,paraboloid,baseline,42,0.05383745953440666,0.00023325211077462882,5.8006993640447035e-05,0.002716007517344916,True,0.6343870162963867,1.1094282865524292,1.8251824951171876,3.19737376337466,3.8320974711499183,2.2897737743204813,0.2252517193555832,0.7649999856948853
50,201,99,paraboloid,K(Phat),42,0.029224546626210213,0.00017864822439150885,3.0182840419001877e-05,0.002716007517344916,True,0.14038419723510742,0.3306349515914917,2.0548800659179687,3.2824826447860054,3.9178937525531046,2.374978873528302,0.3124864399433136,0.7649999856948853
50,201,99,paraboloid,baseline,1042,0.025333263911306858,0.00014786390966037288,2.898001912399195e-05,0.00041430573261792386,True,0.4186532199382782,0.5831900835037231,1.0548018259019707,1.8903780691964285,2.5962746938069663,1.6320875156930226,0.21270015835762024,0.7199999690055847
50,201,99,paraboloid,K(Phat),1042,0.03734140004962683,0.00014965978334657848,3.757988088182174e-05,0.00041430573261792386,True,0.3661380410194397,0.7548494338989258,1.1427469684850031,1.9697035435267858,2.686520470513238,1.8025810218628684,0.265385240316391,0.7199999690055847
