time,ensemble_survival,MTE,RPD,surface,penalty,sim_mode,distance,W2,MMD
0.1,0.9799999594688416,0.42241010860520967,0.34182258264968046,paraboloid,T,learned_ambient,0.2,,
0.2,0.9449999928474426,0.7052605845940807,0.42650011518276154,paraboloid,T,learned_ambient,0.2,,
0.5,0.7400000095367432,0.880298511402027,0.4646675799468828,paraboloid,T,learned_ambient,0.2,,
1.0,0.5649999976158142,1.109862741115874,0.4442527183302919,paraboloid,T,learned_ambient,0.2,1.6963488081514326,0.10911419987678528
2.0,0.3449999988079071,,,paraboloid,T,learned_ambient,0.2,3.8897452647640973,0.12363885343074799
3.0,0.19999998807907104,,,paraboloid,T,learned_ambient,0.2,5.67353703682425,0.135263592004776
4.0,0.10499999672174454,,,paraboloid,T,learned_ambient,0.2,12.854549601036648,0.34283706545829773
5.0,0.08500000089406967,,,paraboloid,T,learned_ambient,0.2,13.652949985608368,0.2521727979183197
0.1,0.9799999594688416,0.8442894293337452,0.6832156412914175,paraboloid,K,learned_latent,0.2,,
0.2,0.9449999928474426,1.0894402398003473,0.6588293715960535,paraboloid,K,learned_latent,0.2,,
