N,D,K_pairs,surface,seed,condition,E_mu,E_Sigma,drift_loss,diff_loss,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,MMD@1.0,survival@1.0,ae_loss,recon_per_dim,phase1_converged
50,11,4,hyperbolic_paraboloid,6042,baseline,0.053,0.1498,0.00534,0.020188,0.9109,1.8106,2.227,1.207,0.1193,0.73,,,
50,11,4,hyperbolic_paraboloid,6042,K(Phat),0.0479,0.2995,0.004625,0.02237,0.922,1.8257,2.2124,1.1949,0.119,0.73,,,
50,11,4,hyperbolic_paraboloid,7042,baseline,0.0287,0.0508,0.006486,0.011455,1.1426,2.3077,2.6236,1.5911,0.2077,0.765,,,
50,11,4,hyperbolic_paraboloid,7042,K(Phat),0.017,0.0297,0.005861,0.010185,1.1311,2.3022,2.6197,1.601,0.2065,0.765,,,
50,11,4,hyperbolic_paraboloid,8042,baseline,0.0291,0.106,0.00442,0.006624,1.1329,2.2415,2.3987,1.2914,0.1417,0.795,,,
50,11,4,hyperbolic_paraboloid,8042,K(Phat),0.0194,0.028,0.002812,0.032832,1.3579,2.4039,2.8683,1.4705,0.1657,0.795,,,
50,11,4,hyperbolic_paraboloid,9042,baseline,0.0207,0.0339,0.00438,0.006349,0.4925,1.2557,1.7652,1.6128,0.1781,0.76,,,
50,11,4,hyperbolic_paraboloid,9042,K(Phat),0.0155,0.0273,0.003885,0.005617,0.4879,1.2363,1.7268,1.5508,0.1649,0.76,,,
50,201,99,paraboloid,42,baseline,0.6344,1.1094,0.000233,5.8e-05,1.8252,3.1974,3.8321,2.2898,0.2253,0.765,,,
50,201,99,paraboloid,42,K(Phat),0.3731,0.5327,0.000209,3.8e-05,1.6451,3.0946,3.8183,2.3191,0.2074,0.765,,,
50,201,99,paraboloid,1042,baseline,0.4187,0.5832,0.000148,2.9e-05,1.0548,1.8904,2.5963,1.6321,0.2127,0.72,,,
50,201,99,paraboloid,1042,K(Phat),0.507,0.5908,0.000154,3e-05,1.0962,1.9506,2.6801,1.7574,0.2436,0.72,,,
50,201,99,paraboloid,2042,baseline,0.4579,0.8318,0.000224,8.5e-05,0.6423,1.6062,2.241,2.155,0.2357,0.785,,,
50,201,99,paraboloid,2042,K(Phat),0.3932,0.7943,0.00016,7.4e-05,0.5437,1.5463,2.1439,2.0576,0.2173,0.785,,,
50,201,99,paraboloid,3042,baseline,0.2865,0.4474,0.000194,7.2e-05,0.6916,1.4097,2.3486,2.4124,0.2765,0.745,,,
50,201,99,paraboloid,3042,K(Phat),0.214,0.3392,0.000231,5.6e-05,2.2375,2.6346,3.2728,3.1538,0.5083,0.745,,,
50,201,99,paraboloid,4042,baseline,0.4864,0.9196,0.000294,8.1e-05,1.2368,2.3533,2.7654,2.0155,0.2393,0.76,,,
50,201,99,paraboloid,4042,K(Phat),0.3292,0.4406,0.000408,6.8e-05,1.2128,2.3355,2.7418,2.0806,0.2485,0.76,,,
50,201,99,paraboloid,5042,baseline,0.5407,0.8715,0.000112,0.000113,1.0881,2.1945,2.7423,1.8505,0.1801,0.765,,,
50,201,99,paraboloid,5042,K(Phat),0.4315,0.4118,8.7e-05,9.7e-05,1.0598,2.1717,2.7905,1.8078,0.167,0.765,,,
