surface,config,seed,ae_loss,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,sW2@0.5,sW2@1.0,MMD@1.0,survival@1.0,stopped@1.0,E_mu_held,drift_loss_final
quartic_dome,T+F,42,0.01666243188083172,0.7263172912597656,1.847479778787364,2.177261651731005,3.6147790612067054,0.4426818204080429,0.6031792373453795,0.14932547509670258,0.7649999856948853,0.23999999463558197,0.0875944122672081,0.024346616119146347
quartic_dome,T+F+S,42,0.01666243188083172,0.736004638671875,1.9095619865085767,2.411293977226307,3.7110144585082057,0.5198019324919765,0.8639493646877523,0.1886194497346878,0.7649999856948853,0.23999999463558197,0.2050030678510666,0.427541583776474
quartic_dome,T+F,1042,0.02498326636850834,0.8454450291005811,1.5154682268415178,1.8622834947374132,3.5297271777336894,0.4156713010092091,0.5690551684902975,0.14891177415847778,0.7199999690055847,0.26499998569488525,0.3824579417705536,0.02930603176355362
quartic_dome,T+F+S,1042,0.02498326636850834,0.8465568504141803,1.5991458565848213,2.0862227545844183,3.5459181004959626,0.496615627731468,0.6298670224571717,0.14209026098251343,0.7199999690055847,0.26499998569488525,0.29514965415000916,0.4005647301673889
quartic_dome,T+F,2042,0.0150291221216321,0.764271185026696,2.274090609707675,2.6529187244974124,3.471262709182065,0.5214168022797524,1.1513725195137487,0.2173597663640976,0.7849999666213989,0.23499999940395355,0.18686333298683167,0.025858595967292786
quartic_dome,T+F+S,2042,0.0150291221216321,0.7774944976346576,2.381592802949004,2.8865397265002986,3.492980638542893,0.6612351502855013,1.3491308635649593,0.2248687595129013,0.7849999666213989,0.23499999940395355,0.24198143184185028,0.4369107484817505
quartic_dome,T+F,3042,0.030653303489089012,0.8206482696533203,2.0340204653532608,2.154891865365457,3.4093648445120657,0.3339805602527816,0.36003268193651033,0.12506958842277527,0.7450000047683716,0.23999999463558197,0.36990952491760254,0.12314307689666748
quartic_dome,T+F+S,3042,0.030653303489089012,0.8289888000488281,2.114826202392578,2.2588556276871854,3.4310650126631237,0.4016726745841371,0.5215594794807029,0.1543663889169693,0.7450000047683716,0.23999999463558197,0.3488531708717346,0.5861028432846069
quartic_dome,T+F,4042,0.01763206347823143,0.7947285461425782,2.247121119237208,2.105381413509971,2.991346273576251,0.706608380509482,1.0221854746966705,0.19865818321704865,0.7599999904632568,0.29999998211860657,0.1486528217792511,0.046255841851234436
quartic_dome,T+F+S,4042,0.01763206347823143,0.8073466491699218,2.322337391612294,2.308797735916941,3.074007883594184,0.8097758732680904,1.345130632675903,0.21803821623325348,0.7599999904632568,0.29999998211860657,0.2237696498632431,0.2531851828098297
