surface,D,dynamics,condition,seed,recon,tangent,E_mu,E_Sigma,sigma_min_p5,sigma_min_median,stage2_loss,stage3_loss
hyperbolic_paraboloid,11,mb,ATLAS,42,0.00019715576093982566,0.005676033440977335,0.8482566475868225,0.00047472427831962705,,,,
hyperbolic_paraboloid,11,mb,baseline,42,1.4898660910231145e-05,0.007194881327450275,0.013060210272669792,0.0016700251726433635,1.1036269664764404,1.1686086654663086,0.001408702735456505,4.294402866175265e-05
hyperbolic_paraboloid,11,mb,T,42,6.5459210997108706e-06,2.8571017537615262e-05,0.00016889904509298503,7.176642611739226e-06,1.1160215139389038,1.2102792263031006,0.00047419964435643384,6.614238259317062e-07
hyperbolic_paraboloid,11,mb,F,42,3.8461577126078986e-05,0.014835084788501263,0.029476279392838478,0.0030298405326902866,1.3234213590621948,1.4081224203109741,0.0007487124156406415,7.703688918679421e-05
hyperbolic_paraboloid,11,mb,C,42,0.0026649031788110733,0.43345075845718384,1.2461786270141602,0.19359256327152252,9.623811721801758,10.040934562683105,0.4425761231354305,0.0017161281347008689
hyperbolic_paraboloid,11,mb,T+F,42,4.208661928053268e-08,1.4134915545582771e-05,7.113251194823533e-05,3.1944364309310913e-06,1.3266032934188843,1.3664690256118774,0.0006648534992044526,1.2278319059890107e-07
hyperbolic_paraboloid,11,mb,ATLAS,1042,0.0003659222275018692,0.011950867250561714,0.5171664953231812,0.0005399995716288686,,,,
hyperbolic_paraboloid,11,mb,baseline,1042,2.094759441785176e-06,0.0017042680410668254,0.00292748655192554,0.00021948656649328768,1.0987203121185303,1.1851645708084106,0.00021358771066713546,9.075291667873639e-06
hyperbolic_paraboloid,11,mb,T,1042,1.020268510646102e-06,1.686831637925934e-05,5.2779141697101295e-05,2.585855099823675e-06,1.1266618967056274,1.1774804592132568,0.00027468330725761395,2.0490690287390733e-07
hyperbolic_paraboloid,11,mb,F,1042,2.8761852511458777e-05,0.014645473100244999,0.027098141610622406,0.0021746705751866102,1.2221204042434692,1.3252123594284058,0.0015378613024950027,6.214757273223117e-05
