surface,D,dynamics,condition,seed,recon,tangent,E_mu,E_Sigma,sigma_min_p5,sigma_min_median,stage2_loss,stage3_loss,E_drift,E_b,E_Lambda
paraboloid,11,mb,F,4042,4.352855665439909e-05,0.012985941022634506,0.04504959657788277,0.002557639731094241,1.288490653038025,1.3949780464172363,0.0006093881051388703,0.00010637363759867315,0.013260633684694767,0.07213449478149414,0.004184367135167122
paraboloid,11,mb,C,4042,0.0027836542576551437,0.4471152424812317,1.4111077785491943,0.18070250749588013,13.542981147766113,13.596684455871582,0.691089174577168,0.002025487067710076,1.7947497367858887,4.471251010894775,0.1816553920507431
paraboloid,11,mb,T+F,4042,6.687997711196658e-08,1.9957915355917066e-05,7.434659346472472e-05,4.12086501455633e-06,1.1817547082901,1.3023895025253296,0.0008183668334303158,3.3250796401976655e-07,0.019530709832906723,0.017924562096595764,2.3501779651269317e-05
paraboloid,11,mb,ATLAS,5042,0.0001040617935359478,0.0014564734883606434,0.4200611710548401,0.00023810875427443534,,,0.09991851449012756,1.5590398106724024e-05,,0.4200611710548401,0.0006585425580851734
paraboloid,11,mb,baseline,5042,7.376390964385461e-06,0.0037800073623657227,0.009983062744140625,0.0006727066356688738,1.1277966499328613,1.1675912141799927,0.00034893012863384295,2.5192003834360677e-05,0.011673039756715298,0.032472413033246994,0.0012412357609719038
paraboloid,11,mb,T,5042,7.532268930596977e-07,8.08327786216978e-06,4.087663546670228e-05,2.2527415239892434e-06,1.0168864727020264,1.0897750854492188,0.00045760375048433034,4.2377270809928244e-07,0.010554494336247444,0.015345554798841476,2.5221766918548383e-05
paraboloid,11,mb,F,5042,3.9456951939924196e-05,0.014700178056955338,0.04704918712377548,0.002639993093907833,1.3774346113204956,1.4610761404037476,0.0005025677008753908,0.00010504812650781657,0.011477043852210045,0.07702819257974625,0.004049674607813358
paraboloid,11,mb,C,5042,0.0028519928455352783,0.4504546523094177,1.8979341983795166,0.1832674890756607,13.12728214263916,13.17866325378418,1.2088125433240617,0.0019751982597102013,2.673126459121704,6.281227111816406,0.18512919545173645
paraboloid,11,mb,T+F,5042,3.8972747130504685e-08,1.574019370309543e-05,6.430992652894929e-05,3.7892932596150786e-06,1.1447079181671143,1.2186418771743774,0.0009662391468217331,2.965410885735764e-07,0.01855628751218319,0.01862291619181633,2.3798795155016705e-05
paraboloid,11,mb,ATLAS,6042,7.849985162134875e-05,0.001320644048973918,0.5151709318161011,0.00025177429779432714,,,0.1378391683101654,1.587507540534716e-05,,0.5151709318161011,0.0008573954692110419
