surface,config,seed,time,MTE_sde,MTE_ode,E_mu,E_Sigma
paraboloid,T+F,7042,1.0,1.9870782611013829,0.7556690761021205,,
paraboloid,T+F+K,7042,0.1,0.9803483837147049,0.07590486526489258,0.04076316952705383,0.01111284364014864
paraboloid,T+F+K,7042,0.2,1.3933761760752688,0.17516647338867186,0.02480020932853222,0.008933302015066147
paraboloid,T+F+K,7042,0.5,1.708309040202961,0.3544418170887937,0.023904990404844284,0.006314428523182869
paraboloid,T+F+K,7042,1.0,1.978258042108445,0.700266486720035,,
paraboloid,T+F,8042,0.1,1.101196839637363,0.14127199172973634,0.11973042786121368,0.04539424553513527
paraboloid,T+F,8042,0.2,1.4185840735274755,0.25756336212158204,0.10686749219894409,0.055144984275102615
paraboloid,T+F,8042,0.5,1.8374135114144587,0.689755098319348,0.11942490935325623,0.029940085485577583
paraboloid,T+F,8042,1.0,1.9461692722364403,0.8561730925569829,,
paraboloid,T+F+K,8042,0.1,1.0667422579735826,0.21166431427001953,0.04517092928290367,0.03324336186051369
paraboloid,T+F+K,8042,0.2,1.3786350207382374,0.34030723571777344,0.04199899360537529,0.0347762368619442
paraboloid,T+F+K,8042,0.5,1.826675860551152,0.86819892705873,0.023912398144602776,0.029199302196502686
paraboloid,T+F+K,8042,1.0,1.9050716218494235,1.1281690216064453,,
paraboloid,T+F,9042,0.1,1.0809948979591837,0.1837855339050293,0.08776205778121948,0.04145464673638344
paraboloid,T+F,9042,0.2,1.4945675320095486,0.24878063872830952,0.0760217010974884,0.04088560491800308
paraboloid,T+F,9042,0.5,1.4357261657714844,0.5891617257254465,0.06041353940963745,0.043078307062387466
paraboloid,T+F,9042,1.0,1.7698508597709037,0.6418231355042017,,
paraboloid,T+F+K,9042,0.1,1.0570998191833496,0.2712619400024414,0.05199114978313446,0.04365122318267822
paraboloid,T+F+K,9042,0.2,1.4315061183334086,0.4905760875299348,0.03512858971953392,0.02711380273103714
paraboloid,T+F+K,9042,0.5,1.3941007434812367,0.7712577016730058,0.03708094358444214,0.01767772063612938
paraboloid,T+F+K,9042,1.0,1.7481842041015625,0.8971268913962624,,
hyperbolic_paraboloid,T+F,42,0.1,1.2316928352277303,0.6051532227789337,0.867000162601471,1.8505585193634033
hyperbolic_paraboloid,T+F,42,0.2,1.5444532825100807,0.8082938680843431,0.9892562031745911,2.361382246017456
hyperbolic_paraboloid,T+F,42,0.5,2.050667953491211,1.2255044899239445,0.8893147706985474,3.2555015087127686
hyperbolic_paraboloid,T+F,42,1.0,2.1866226196289062,1.5680966584578804,,
hyperbolic_paraboloid,T+F+K,42,0.1,1.214791218439738,0.6436843077341715,0.7140454649925232,1.727554202079773
hyperbolic_paraboloid,T+F+K,42,0.2,1.523603117867802,0.8172558526307838,0.7177363038063049,1.9501709938049316
hyperbolic_paraboloid,T+F+K,42,0.5,1.9686676238800263,1.338282163451318,0.6822246313095093,3.0104198455810547
hyperbolic_paraboloid,T+F+K,42,1.0,2.149847152385306,1.6242878397957223,,
hyperbolic_paraboloid,T+F,1042,0.1,1.1289937183110401,0.05457402229309082,0.026849329471588135,0.05528940260410309
hyperbolic_paraboloid,T+F,1042,0.2,1.3779723618056747,0.07496960163116455,0.02895278111100197,0.03265552967786789
hyperbolic_paraboloid,T+F,1042,0.5,1.7373329105233788,0.2647959978152544,0.02470853552222252,0.04559765383601189
hyperbolic_paraboloid,T+F,1042,1.0,1.8151757511091822,0.31314188026520146,,
hyperbolic_paraboloid,T+F+K,1042,0.1,1.1395367186273162,0.08232145309448242,0.0149946678429842,0.02685278281569481
hyperbolic_paraboloid,T+F+K,1042,0.2,1.3903028700086806,0.09495441436767578,0.01782425493001938,0.03462189435958862
hyperbolic_paraboloid,T+F+K,1042,0.5,1.804622765743371,0.2372684381940038,0.026027783751487732,0.04396241530776024
hyperbolic_paraboloid,T+F+K,1042,1.0,1.852086008330922,0.3237092960515671,,
hyperbolic_paraboloid,T+F,2042,0.1,0.9163582541725852,0.1459958267211914,0.035140510648489,0.05630987882614136
hyperbolic_paraboloid,T+F,2042,0.2,1.3716441386454814,0.20580646514892578,0.022679850459098816,0.06090612709522247
hyperbolic_paraboloid,T+F,2042,0.5,1.8804456467596478,0.26579251132168613,0.03157749027013779,0.10531969368457794
hyperbolic_paraboloid,T+F,2042,1.0,2.0958689880371093,0.3287211068068879,,
hyperbolic_paraboloid,T+F+K,2042,0.1,0.9129934646376413,0.11916349411010742,0.02366938814520836,0.07324812561273575
hyperbolic_paraboloid,T+F+K,2042,0.2,1.3462396840580175,0.12687767028808594,0.024962466210126877,0.04792602360248566
hyperbolic_paraboloid,T+F+K,2042,0.5,1.9621443714169289,0.25923784255981447,0.028030848130583763,0.06872877478599548
hyperbolic_paraboloid,T+F+K,2042,1.0,2.0967783610026043,0.3733432006835937,,
hyperbolic_paraboloid,T+F,3042,0.1,0.915097139319595,0.03805393695831299,0.010122670792043209,0.005231132265180349
hyperbolic_paraboloid,T+F,3042,0.2,1.2367308243461277,0.06354912757873535,0.005928379949182272,0.0035161273553967476
hyperbolic_paraboloid,T+F,3042,0.5,1.6104547600997121,0.1886621725679648,0.011479646898806095,0.004122546873986721
hyperbolic_paraboloid,T+F,3042,1.0,2.0656241237527073,0.3062807582916423,,
hyperbolic_paraboloid,T+F+K,3042,0.1,0.9114131538235412,0.03365856647491455,0.006660168990492821,0.004250530153512955
hyperbolic_paraboloid,T+F+K,3042,0.2,1.2314618220094775,0.06032845497131348,0.004426748491823673,0.003803769126534462
hyperbolic_paraboloid,T+F+K,3042,0.5,1.6589363344254033,0.16232533670550015,0.006772339344024658,0.0035343675408512354
hyperbolic_paraboloid,T+F+K,3042,1.0,2.0711317340147146,0.27720488303618906,,
hyperbolic_paraboloid,T+F,4042,0.1,1.3365062924485709,0.05878888130187988,0.07656033337116241,0.10633090138435364
hyperbolic_paraboloid,T+F,4042,0.2,1.6711132152660473,0.10259801864624024,0.05394113063812256,0.059512872248888016
hyperbolic_paraboloid,T+F,4042,0.5,2.2206828541999317,0.34876251220703125,0.0871255174279213,0.08393228054046631
hyperbolic_paraboloid,T+F,4042,1.0,2.221104139692328,0.4930008130195813,,
hyperbolic_paraboloid,T+F+K,4042,0.1,1.3393757115656406,0.04114763259887695,0.020468659698963165,0.07819417119026184
hyperbolic_paraboloid,T+F+K,4042,0.2,1.73211604643633,0.07109914779663086,0.022682327777147293,0.04431048780679703
hyperbolic_paraboloid,T+F+K,4042,0.5,2.2514196084746234,0.34060111999511716,0.0321522019803524,0.07769854366779327
hyperbolic_paraboloid,T+F+K,4042,1.0,2.191580878363715,0.44793740805093346,,
hyperbolic_paraboloid,T+F,5042,0.1,0.8811872863769531,0.13050070762634278,0.04813147708773613,0.142049640417099
hyperbolic_paraboloid,T+F,5042,0.2,1.2575293216608503,0.1948516273498535,0.05060553923249245,0.1531534492969513
hyperbolic_paraboloid,T+F,5042,0.5,1.7249913015765344,0.4918636745876736,0.09896806627511978,0.5696984529495239
hyperbolic_paraboloid,T+F,5042,1.0,1.9497043542694628,0.9354027057516163,,
hyperbolic_paraboloid,T+F+K,5042,0.1,0.89342529296875,0.18111209869384765,0.02531558647751808,0.2099618762731552
hyperbolic_paraboloid,T+F+K,5042,0.2,1.2997340478267767,0.22831645965576172,0.02457277476787567,0.15556004643440247
hyperbolic_paraboloid,T+F+K,5042,0.5,1.7146402370710314,0.548120420806262,0.05674811452627182,0.37107259035110474
hyperbolic_paraboloid,T+F+K,5042,1.0,1.9494118430397727,0.9546774675746164,,
hyperbolic_paraboloid,T+F,6042,0.1,0.6522965094055793,0.18008769989013673,0.03449581190943718,0.13690045475959778
hyperbolic_paraboloid,T+F,6042,0.2,0.880966104925635,0.22538318634033203,0.0333503857254982,0.07788901031017303
hyperbolic_paraboloid,T+F,6042,0.5,1.2287809244791668,0.47533934598142,0.062249816954135895,0.8357831835746765
hyperbolic_paraboloid,T+F,6042,1.0,1.4972794032332921,0.6828506469726563,,
hyperbolic_paraboloid,T+F+K,6042,0.1,0.6483269893761837,0.17129928588867188,0.019009675830602646,0.11446287482976913
hyperbolic_paraboloid,T+F+K,6042,0.2,0.8865328849630153,0.2168782424926758,0.017994942143559456,0.08590373396873474
