N,D,K_pairs,surface,condition,seed,ae_loss,recon_per_dim,E_mu,E_Sigma,drift_loss,diff_loss,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,sW2@0.1,sW2@0.2,sW2@0.5,sW2@1.0,MMD@1.0,survival@1.0,stopped@1.0
20,201,99,paraboloid,no_penalty,4042,0.0,0.0005231267258302489,7.8972859382629395,32.76221466064453,0.00824011117219925,0.0024114472325891256,0.976150479595987,1.2907973780776516,1.162998929936835,0.7119554609804188,0.500639827993066,0.595808253094357,0.5472601237059728,0.7238002993400265,0.16561374068260193,0.28200000524520874,0.06000000238418579
20,201,99,paraboloid,T+F,4042,0.0,0.00029282210700547516,1.331188678741455,2.248904228210449,0.013112461194396019,0.0004139098455198109,0.8973516435271489,1.342241229433002,1.3731318264142842,0.5706981810215996,0.44674546408798627,0.6421130447847273,0.3982062785339815,0.9948163087732033,0.25600749254226685,0.28200000524520874,0.06000000238418579
20,201,99,paraboloid,no_penalty,5042,0.0,0.0007860364753808548,7.49368953704834,30.15866470336914,0.008828512392938137,0.0013250693446025252,0.9371969705099588,1.4484037842697763,1.359214841857437,0.843054317874902,0.4672061622552698,0.5600530361806505,0.5693165298379506,0.8435152767716135,0.24162891507148743,0.2580000162124634,0.06599999964237213
20,201,99,paraboloid,T+F,5042,0.0,0.00043223979906063174,1.2218936681747437,2.6562864780426025,0.016828082501888275,0.0001280852302443236,1.0581534920157967,1.5533472040042666,1.4527713272922722,0.7905538444479605,0.6436737745740085,0.8068463638956117,0.7485040268981457,0.7556248950009213,0.2706100344657898,0.2580000162124634,0.06599999964237213
20,201,99,paraboloid,no_penalty,6042,0.0,0.00012228797324261262,5.291629314422607,20.109756469726562,0.035333309322595596,0.0006713948678225279,0.562081862126153,0.8555260605699434,0.8239389307358685,0.7192159024413884,0.40844930385723643,0.40547765866482344,0.47960683591665876,0.46588620533529035,0.14921526610851288,0.2720000147819519,0.06000000238418579
20,201,99,paraboloid,T+F,6042,0.0,0.0001873639018381413,1.4104982614517212,1.8133740425109863,0.013152943924069405,4.306433038436808e-05,0.4477080626634774,0.7538998821588951,0.9689678865320542,0.8960882732251969,0.27800705539782716,0.3261211018379815,0.5527473927074833,0.7178300083556652,0.24235086143016815,0.2720000147819519,0.06000000238418579
20,201,99,paraboloid,no_penalty,7042,0.0,0.0004447800528943835,3.6763010025024414,9.669454574584961,0.05788791924715042,0.0030228865798562765,0.8047408049327162,1.2750984163948031,1.3715019226074219,1.097923724753816,0.39038827120999803,0.4925693086507307,1.0031177925741241,0.6835251406360353,0.12004323303699493,0.2880000174045563,0.058000002056360245
20,201,99,paraboloid,T+F,7042,0.0,0.0005964323211072097,0.7164103984832764,1.4223527908325195,0.49034687876701355,0.00033541236189194024,0.9307370626978937,1.2457771720467032,1.2666053771972656,1.01608022896466,0.4924804173431174,0.47970207127524717,0.5998170989479861,0.6995507254876869,0.2781088650226593,0.2880000174045563,0.058000002056360245
20,201,99,paraboloid,no_penalty,8042,0.0,0.0009293696328775207,7.486405849456787,32.6455078125,0.008841283619403839,0.0034978119656443596,0.9362673078264508,1.2565869849747147,1.4413717764395255,1.111317713854526,0.5345245281329212,0.5945329745167814,0.7659887046823624,1.0463414150243755,0.2665122151374817,0.27000001072883606,0.058000002056360245
20,201,99,paraboloid,T+F,8042,0.0,0.0006241053342819214,1.1267309188842773,2.3868865966796875,0.2614953815937042,0.00036095958785153925,0.9364328384399414,1.8381737673431016,2.7024538393373843,2.54201689289246,0.646399454267367,0.8778966429647465,1.5093604217159242,2.5204418805565827,0.6027012467384338,0.27000001072883606,0.058000002056360245
20,201,99,paraboloid,no_penalty,9042,0.0,0.00014733002331126388,4.637370586395264,14.665258407592773,0.015518952161073685,0.0007705595344305038,1.0525936177123485,1.426951416015625,1.6310594707516068,0.8566047999166815,0.551904998708266,0.5696052113977206,0.6815980914380211,0.8021182484629393,0.16183705627918243,0.28200000524520874,0.04400000348687172
20,201,99,paraboloid,T+F,9042,0.0,0.00038295628419562954,1.0512595176696777,1.4338221549987793,0.033536396920681,0.00015857401012908667,1.376398699924284,1.7675111083984374,1.8192344286763076,0.5086706653137314,0.701339568347671,0.8530267038038968,0.917529841257372,0.8108789020882115,0.1392543464899063,0.28200000524520874,0.04400000348687172
20,201,99,hyperbolic_paraboloid,no_penalty,42,0.0,0.00046754902719858273,4.610175609588623,29.40025520324707,0.017055727541446686,0.0013884202344343066,1.0388831327646506,1.561660192962876,1.6973863874162947,1.0348009494030244,0.5592555468758958,0.7220714011072529,0.8332657392525052,1.373185068457817,0.2253287136554718,0.2800000011920929,0.04200000315904617
20,201,99,hyperbolic_paraboloid,T+F,42,0.0,0.001242075912394927,1.7294422388076782,4.978701591491699,0.0238863043487072,0.00023894730838946998,1.0776387577864004,1.7573729780383576,1.8195227486746652,1.1071746325272915,0.696908642127698,0.9390983133135075,1.2477439226002827,1.331451521054081,0.2998245656490326,0.2800000011920929,0.04200000315904617
20,201,99,hyperbolic_paraboloid,no_penalty,1042,0.0,0.0008219025324826217,3.3385565280914307,38.77717208862305,0.013849101029336452,0.0007692931685596704,0.9549729786896227,1.3264393859636385,1.5689009083997483,1.1972851055791562,0.5178611630514568,0.6114081137033756,0.7173275055006063,1.0804661552944894,0.27081215381622314,0.2980000078678131,0.06200000271201134
