surface,D,N,seed,loss_mode,E_mu,E_Sigma_chart,E_Sigma_diff,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,sW2@0.1,sW2@0.2,sW2@0.5,sW2@1.0,MMD@1.0,survival@1.0,stopped@1.0
hyperbolic_paraboloid,11,20,5042,ambient,0.10107599198818207,0.2918963134288788,0.0856385285204107,1.3461153470552885,2.1358957888895294,2.197258527888808,1.277972069621507,0.6693474893329493,0.9597023675016916,1.1357537072566626,1.4905371953502229,0.28563743829727173,0.2580000162124634,0.06599999964237213
hyperbolic_paraboloid,11,20,5042,latent,0.10107599198818207,0.2918963134288788,0.07086336612701416,1.3389551854395605,2.1320528262655674,2.17481627944828,1.268915983362712,0.6698140007009689,0.9472814661298549,1.1325992229285784,1.4333838566749721,0.2805291712284088,0.2580000162124634,0.06599999964237213
hyperbolic_paraboloid,11,20,6042,ambient,0.15080487728118896,0.13904422521591187,0.08896266872232611,0.41754755364640694,0.890526538758766,1.2674194784725414,1.0750657586599388,0.23583635207921042,0.35906866901888096,0.7060203346475844,1.0739012370331817,0.3165563642978668,0.2720000147819519,0.06000000238418579
hyperbolic_paraboloid,11,20,6042,latent,0.15080487728118896,0.13904422521591187,0.10918783057819713,0.8679126621868116,1.4275437002106914,1.4283698586856617,0.7511098348487317,0.3633183407687135,0.4279341862423339,0.6003341653054329,0.9522765922702455,0.2527550160884857,0.2720000147819519,0.06000000238418579
hyperbolic_paraboloid,11,20,7042,ambient,0.0756966844201088,0.12359264492988586,0.14043030955574728,0.9663788379551556,1.7672986599988554,1.9489612579345703,0.9418188859802379,0.5104990751557498,0.7284117154913662,0.8570081740329247,0.9741013150147756,0.24578233063220978,0.2880000174045563,0.058000002056360245
hyperbolic_paraboloid,11,20,7042,latent,0.0756966844201088,0.12359264492988586,0.1367407278581099,0.9632120678603386,1.6869151356456045,1.939310285780165,0.9620882826438668,0.5382974598820316,0.7308896333124897,0.9099640003159568,0.8687751767317712,0.265287309885025,0.2880000174045563,0.058000002056360245
hyperbolic_paraboloid,11,20,8042,ambient,0.12041826546192169,0.17728561162948608,0.08719895644621416,0.9430759974888393,1.66100555040035,1.876474451135706,1.0606403257358834,0.4582626266855222,0.5356772716186841,0.9730886139270821,1.5164925512594989,0.26084229350090027,0.27000001072883606,0.058000002056360245
hyperbolic_paraboloid,11,20,8042,latent,0.12041826546192169,0.17728561162948608,0.0770681771365079,0.9360690116882324,1.6141985501491183,1.8354218659577546,1.0155919426648874,0.44729915736008674,0.5282538484426257,0.9466910326063517,1.4863380495061838,0.255448579788208,0.27000001072883606,0.058000002056360245
hyperbolic_paraboloid,11,20,9042,ambient,0.16094154119491577,0.1935601830482483,0.0974527272311124,0.4218009915120801,0.813631591796875,1.117113045766844,0.9491814571307555,0.3622402446722898,0.36191455183816673,0.5691209220994938,0.7184059126106376,0.26051944494247437,0.28200000524520874,0.04400000348687172
hyperbolic_paraboloid,11,20,9042,latent,0.16094154119491577,0.1935601830482483,0.09130242737856778,0.41804605223533864,0.8102478637695313,1.1001039329150044,0.9437721796302017,0.36149636788702094,0.35384567638680914,0.5424735698946984,0.6720610677492403,0.26342126727104187,0.28200000524520874,0.04400000348687172
hyperbolic_paraboloid,11,100,42,ambient,0.017886366695165634,0.06026511639356613,0.1424694603139704,0.8096762744249374,1.514881564262218,1.6816683088030133,0.996888670889513,0.4216457316845071,0.5800187541374969,0.6623301546732588,1.0905842021192789,0.24343428015708923,0.2800000011920929,0.04200000315904617
hyperbolic_paraboloid,11,100,42,latent,0.017886366695165634,0.06026511639356613,0.1335534074089744,0.829455403283338,1.6131518371123121,1.7371608189174108,1.0049856353355404,0.4329741057929343,0.5771655815156826,0.8283046927402643,1.0618307132071756,0.2581925392150879,0.2800000011920929,0.04200000315904617
hyperbolic_paraboloid,11,100,1042,ambient,0.017390400171279907,0.05860108137130737,0.08157702467658302,1.1091470357304427,1.9074836362250231,2.229691063797714,1.1360289306305946,0.4938451239056757,0.6746790701811012,0.8107170779826511,1.362884915896575,0.26708918809890747,0.2980000078678131,0.06200000271201134
hyperbolic_paraboloid,11,100,1042,latent,0.017390400171279907,0.05860108137130737,0.05784525654532693,1.1098299769887945,1.9035081827950744,2.2300546121277267,1.1641919394115237,0.493805532447934,0.6860885031869148,0.7988918559398595,1.3791060583113133,0.2683199942111969,0.2980000078678131,0.06200000271201134
hyperbolic_paraboloid,11,100,2042,ambient,0.010485030710697174,0.029502149671316147,0.060701760378750885,0.8911893074972588,1.7224540104941717,1.9109178127202773,1.2028667827325041,0.4533169077268782,0.7593123925174722,1.2404375028733288,1.1724989226186502,0.30376550555229187,0.26600000262260437,0.04800000041723251
hyperbolic_paraboloid,11,100,2042,latent,0.010485030710697174,0.029502149671316147,0.055041692473671654,0.891110336571409,1.7217014857700892,1.9333872400728382,1.222690519757835,0.45042808133986734,0.749726195258989,1.2394661311881543,1.172952834475688,0.3035356402397156,0.26600000262260437,0.04800000041723251
hyperbolic_paraboloid,11,100,3042,ambient,0.03091949038207531,0.28780317306518555,0.2054843469099565,0.9819437437205516,1.6765947484258394,1.9850647870232077,1.3593139367126408,0.587402357956021,0.7132786848586864,0.9969089070564935,1.509086698242112,0.2804547846317291,0.2720000147819519,0.05000000074505806
hyperbolic_paraboloid,11,100,3042,latent,0.03091949038207531,0.28780317306518555,0.15446783195842395,0.911544901304393,1.5596796291977613,2.0362930297851562,1.3246881232981371,0.5554844036464628,0.648720248861853,1.0154532563854843,1.5742896779175883,0.27693942189216614,0.2720000147819519,0.05000000074505806
hyperbolic_paraboloid,11,100,4042,ambient,0.016544722020626068,0.054078780114650726,0.06952120499177412,1.3407474939838666,2.231498024680398,2.5606455701462765,1.9404298408683422,0.662171847880293,1.059646538821552,1.4291757709863253,2.387513246882306,0.3109816908836365,0.28200000524520874,0.06000000238418579
hyperbolic_paraboloid,11,100,4042,latent,0.016544722020626068,0.054078780114650726,0.06493689797141335,1.3380502961462852,2.221766153971354,2.5507695624168885,1.9347194973138606,0.6586354107435036,1.0526343927920492,1.400191255503134,2.322811800609647,0.30726316571235657,0.28200000524520874,0.06000000238418579
hyperbolic_paraboloid,11,100,5042,ambient,0.07876253873109818,0.20605675876140594,0.1175501129843972,1.3319588126717032,2.0719349991351477,2.1584496313287307,1.3912439257331484,0.657940281680172,0.9210077548025969,1.1546402190101308,1.4019571394303127,0.2853491008281708,0.2580000162124634,0.06599999964237213
hyperbolic_paraboloid,11,100,5042,latent,0.07876253873109818,0.20605675876140594,0.14348425648429178,1.3472711248712226,2.1313967546413743,2.227470457091812,1.4696260441622788,0.6672908638160682,0.935169524070243,1.2465858363496465,1.4804215552174287,0.29481372237205505,0.2580000162124634,0.06599999964237213
